objectnummer,leeftijd,soort,plantjaar,stamdiameter,hoogte,monumentaal,beplantingssituatie,locatie,eigenaar,stadsdeel,lon,lat
1740,_30_50,Ulmus hollandica `Vegeta`,1973,30-50,,,Bomen in gazon,,Stadsdeel,Oost,4.911359,52.351339
1741,_30_50,Ulmus hollandica `Vegeta`,1968,30-50,,,Bomen in gazon,,Stadsdeel,Oost,4.922724,52.363481
1742,_30_50,Ulmus hollandica `Vegeta`,1980,30-50,,,Bomen in gazon,,Stadsdeel,Oost,4.909575,52.353417
1743,_30_50,Ulmus hollandica `Vegeta`,1948,30-50,,,Bomen in gazon,,Stadsdeel,Oost,4.909486,52.353506
1744,_30_50,Ulmus hollandica `Vegeta`,1958,30-50,,,Bomen in gazon,,Stadsdeel,Oost,4.909338,52.35365
1745,_30_50,Ulmus hollandica `Vegeta`,1968,30-50,,,Bomen in gazon,,Stadsdeel,Oost,4.909279,52.353712
1746,_30_50,Ulmus hollandica `Vegeta`,1958,30-50,,,Bomen in gazon,,Stadsdeel,Oost,4.909352,52.353695
1747,_30_50,Ulmus hollandica `Vegeta`,1975,30-50,,,Bomen in gazon,,Stadsdeel,Oost,4.908938,52.353945
1748,_30_50,Ulmus hollandica `Vegeta`,1973,30-50,,,Bomen in gazon,,Stadsdeel,Oost,4.910155,52.352691
1749,_30_50,Ulmus hollandica `Vegeta`,1968,30-50,,,Bomen in gazon,,Stadsdeel,Oost,4.910287,52.352755
1750,_30_50,Ulmus hollandica `Vegeta`,1968,30-50,,,Bomen in gazon,,Stadsdeel,Oost,4.910066,52.35279
1751,_30_50,Ulmus hollandica `Vegeta`,1968,30-50,,,Bomen in gazon,,Stadsdeel,Oost,4.910853,52.351975
1752,_30_50,Ulmus hollandica `Vegeta`,1968,30-50,,,Bomen in gazon,,Stadsdeel,Oost,4.910408,52.352441
1753,_30_50,Ulmus hollandica `Vegeta`,1948,30-50,,,Bomen in gazon,,Stadsdeel,Oost,4.910957,52.351877
1754,_30_50,Ulmus hollandica `Vegeta`,1963,30-50,,,Bomen in gazon,,Stadsdeel,Oost,4.911446,52.351402
1755,_30_50,Ulmus hollandica `Vegeta`,1963,30-50,,,Bomen in gazon,,Stadsdeel,Oost,4.911941,52.350442
1756,_30_50,Ulmus hollandica `Vegeta`,1978,30-50,,,Bomen in gazon,,Stadsdeel,Oost,4.911791,52.350729
1757,_30_50,Ulmus hollandica `Vegeta`,1968,30-50,,,Bomen in gazon,,Stadsdeel,Oost,4.911659,52.350756
1758,_30_50,Ulmus hollandica `Vegeta`,1963,30-50,,,Bomen in gazon,,Stadsdeel,Oost,4.912001,52.350344
1759,_30_50,Ulmus hollandica `Vegeta`,1963,30-50,,,Bomen in gazon,,Stadsdeel,Oost,4.912046,52.350236
1760,_30_50,Ulmus hollandica `Vegeta`,1963,30-50,,,Bomen in gazon,,Stadsdeel,Oost,4.912091,52.350146
1761,_30_50,Ulmus hollandica `Vegeta`,1963,30-50,,,Bomen in gazon,,Stadsdeel,Oost,4.91215,52.350057
1762,_30_50,Ulmus hollandica `Vegeta`,1963,30-50,,,Bomen in gazon,,Stadsdeel,Oost,4.912181,52.349976
1763,_30_50,Ulmus hollandica `Vegeta`,1958,30-50,,,Bomen in gazon,,Stadsdeel,Oost,4.91233,52.349689
1764,_30_50,Ulmus hollandica `Vegeta`,1996,30-50,,,Bomen in gazon,,Stadsdeel,Oost,4.911389,52.351294
1765,_30_50,Ulmus hollandica `Vegeta`,1975,30-50,,,Bomen in gazon,,Stadsdeel,Oost,4.913859,52.346756
1766,_30_50,Ulmus hollandica `Vegeta`,1970,30-50,,,Bomen in gazon,,Stadsdeel,Oost,4.913798,52.3469
1767,_30_50,Ulmus hollandica `Vegeta`,1980,30-50,,,Bomen in gazon,,Stadsdeel,Oost,4.913724,52.347025
1768,_30_50,Ulmus hollandica `Vegeta`,1980,30-50,,,Bomen in gazon,,Stadsdeel,Oost,4.913679,52.347124
1769,_30_50,Ulmus hollandica `Vegeta`,1970,30-50,,,Bomen in gazon,,Stadsdeel,Oost,4.913741,52.34681
1770,_30_50,Ulmus hollandica `Vegeta`,1970,30-50,,,Bomen in gazon,,Stadsdeel,Oost,4.913561,52.347168
1771,_30_50,Ulmus hollandica `Vegeta`,1970,30-50,,,Bomen in gazon,,Stadsdeel,Oost,4.914128,52.346236
1772,_30_50,Ulmus hollandica `Vegeta`,1985,30-50,,,Bomen in ruw gras / grasbermen,,Stadsdeel,Oost,4.898591,52.321852
1773,_30_50,Ulmus hollandica `Wredei`,1968,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.92488,52.352444
1774,_30_50,Ulmus minor,1948,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.914432,52.356357
1775,_30_50,Ulmus minor,1948,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.914521,52.356241
1776,_30_50,Ulmus minor,1948,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.914476,52.356366
1777,_30_50,Ulmus minor,1948,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.91452,52.356304
1778,_30_50,Ulmus minor,1948,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.914595,52.356205
1779,_30_50,Ulmus minor,1948,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.914596,52.356133
1780,_30_50,Ulmus minor,1948,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.91467,52.356026
1781,_30_50,Ulmus minor,1948,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.914744,52.355999
1782,_30_50,Ulmus minor,1948,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.914745,52.355918
1783,_30_50,Ulmus minor,1948,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.914789,52.355927
1784,_30_50,Ulmus minor,1948,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.914993,52.355991
1785,_30_50,Ulmus minor,1948,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.915037,52.356
1786,_30_50,Ulmus minor,1948,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.914963,52.356108
1787,_30_50,Ulmus minor,1948,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.914874,52.356215
1788,_30_50,Ulmus minor,1948,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.9148,52.35626
1789,_30_50,Ulmus minor,1948,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.914725,52.356358
1790,_30_50,Ulmus minor,1948,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.914681,52.356421
1791,_30_50,Ulmus minor,1948,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.91471,52.356439
1792,_30_50,Ulmus minor,1971,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.914669,52.356098
1793,_30_50,Ulmus minor,1968,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.907442,52.355215
1794,_30_50,Ulmus minor,1973,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.907308,52.355403
1795,_30_50,Ulmus minor,1968,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.91994,52.362931
1796,_30_50,Ulmus minor,1958,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.919547,52.362624
1797,_30_50,Ulmus minor,1980,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.919343,52.36247
1798,_30_50,Ulmus minor,1980,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.918159,52.36198
1799,_30_50,Ulmus minor,1958,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.917162,52.361913
1800,_30_50,Ulmus minor,1958,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.917045,52.361904
1801,_30_50,Ulmus minor,1968,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.917147,52.361949
1802,_30_50,Ulmus minor,1958,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.916194,52.361829
1803,_30_50,Ulmus minor,1969,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.916252,52.361883
1804,_30_50,Ulmus minor,1938,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.9183,52.357011
1805,_30_50,Ulmus minor,1968,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.939216,52.348446
1806,_30_50,Ulmus minor,1968,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.939363,52.348356
1807,_30_50,Ulmus minor,1970,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.918081,52.340203
1808,_30_50,Ulmus minor,1990,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.918037,52.340212
1809,_30_50,Ulmus minor,1985,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.914946,52.33975
1810,_30_50,Ulmus minor,1975,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.915343,52.339671
1811,_30_50,Ulmus minor,1980,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.915299,52.339698
1812,_30_50,Ulmus minor,1985,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.915313,52.339734
1813,_30_50,Ulmus minor,1975,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.915416,52.339716
1814,_30_50,Ulmus minor,1975,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.915577,52.339681
1815,_30_50,Ulmus minor,1985,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.939109,52.351735
1816,_30_50,Ulmus minor,1990,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.93067,52.353113
1817,_30_50,Ulmus minor,1975,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.933659,52.350806
1818,_30_50,Ulmus minor,1970,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.929036,52.352181
1819,_30_50,Ulmus minor,1970,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.928963,52.352145
1820,_30_50,Ulmus minor,1970,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.932257,52.350154
1821,_30_50,Ulmus minor,1970,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.932381,52.352329
1822,_30_50,Ulmus minor,1970,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.932913,52.351936
1823,_30_50,Ulmus minor,1990,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.942804,52.355056
1824,_30_50,Ulmus minor,1970,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.917537,52.340291
1825,_30_50,Ulmus minor,1975,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.915708,52.339807
1826,_30_50,Ulmus minor,1968,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.947558,52.34339
1827,_30_50,Ulmus minor,1983,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.930567,52.364554
1828,_30_50,Ulmus minor,1980,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.921199,52.363278
1829,_30_50,Ulmus minor,1979,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.915268,52.353592
1830,_30_50,Ulmus minor,1963,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.919413,52.35582
1831,_30_50,Ulmus minor,1968,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.917745,52.355391
1832,_30_50,Ulmus minor,1973,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.923535,52.361732
1833,_30_50,Ulmus minor,1968,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.921417,52.360744
1834,_30_50,Ulmus minor,1973,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.92111,52.360599
1835,_30_50,Ulmus minor,1968,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.921154,52.36059
1836,_30_50,Ulmus minor,1968,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.922864,52.361289
1837,_30_50,Ulmus minor,1968,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.922693,52.360857
1838,_30_50,Ulmus minor,1973,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.917469,52.3592
1839,_30_50,Ulmus minor,1973,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.91772,52.359147
1840,_30_50,Ulmus minor,1973,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.917764,52.359067
1841,_30_50,Ulmus minor,1968,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.920671,52.359078
1842,_30_50,Ulmus minor,1968,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.923861,52.360052
1843,_30_50,Ulmus minor,1973,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.923552,52.361534
1844,_30_50,Ulmus minor,1973,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.918321,52.360615
1845,_30_50,Ulmus minor,1997,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.923771,52.361634
1846,_30_50,Ulmus minor,1975,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.922167,52.360585
1847,_30_50,Ulmus minor,1938,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.926201,52.359495
1848,_30_50,Ulmus minor,1958,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.919881,52.362976
1849,_30_50,Ulmus minor,1958,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.919576,52.362732
1850,_30_50,Ulmus minor,1958,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.919473,52.362669
1851,_30_50,Ulmus minor,1968,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.91975,52.362885
1852,_30_50,Ulmus minor,1918,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.92314,52.361613
1853,_30_50,Ulmus minor,1990,30-50,,,Bomen in beplanting,,Stadsdeel,Oost,4.92169,52.347318
1854,_30_50,Ulmus minor,1990,30-50,,,Bomen in gazon,,Stadsdeel,Oost,4.926456,52.357564
1855,_30_50,Ulmus minor,1968,30-50,,,Bomen in gazon,,Stadsdeel,Oost,4.917132,52.360565
1856,_30_50,Ulmus minor,1968,30-50,,,Bomen in gazon,,Stadsdeel,Oost,4.920449,52.360632
1857,_30_50,Ulmus minor,1958,30-50,,,Bomen in gazon,,Stadsdeel,Oost,4.922554,52.360101
1858,_30_50,Ulmus minor,,30-50,,,Bomen in gazon,,Stadsdeel,Oost,4.922642,52.360129
1859,_30_50,Ulmus minor,1978,30-50,,,Bomen in gazon,,Stadsdeel,Oost,4.905922,52.358696
1860,_30_50,Ulmus minor,1938,30-50,,,Bomen in gazon,,Stadsdeel,Oost,4.906104,52.358139
1861,_30_50,Ulmus minor,1968,30-50,,,Bomen in gazon,,Stadsdeel,Oost,4.90642,52.357422
1862,_30_50,Ulmus minor,1958,30-50,,,Bomen in gazon,,Stadsdeel,Oost,4.910512,52.352333
1863,_30_50,Ulmus minor,1968,30-50,,,Bomen in gazon,,Stadsdeel,Oost,4.91054,52.352432
1864,_30_50,Ulmus minor,1958,30-50,,,Bomen in gazon,,Stadsdeel,Oost,4.911237,52.351743
1865,_30_50,Ulmus minor,1968,30-50,,,Bomen in gazon,,Stadsdeel,Oost,4.911581,52.351124
1866,_30_50,Ulmus minor,1979,30-50,,,Bomen in ruw gras / grasbermen,,Stadsdeel,Oost,4.931538,52.352928
1867,_30_50,Ulmus minor,1954,30-50,,,Bomen in ruw gras / grasbermen,,Stadsdeel,Oost,4.931524,52.352919
1868,_30_50,Ulmus minor,1985,30-50,,,Bomen in ruw gras / grasbermen,,Stadsdeel,Oost,4.934138,52.34271
1869,_30_50,Ulmus minor,1968,30-50,,,Bomen in halfverharding,,Stadsdeel,Oost,4.921755,52.360673
1870,_30_50,Ulmus minor `Sarniensis`,1953,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.92864,52.360691
1871,_30_50,Ulmus minor `Sarniensis`,1953,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.928879,52.360333
1872,_30_50,Ulmus minor `Sarniensis`,1953,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.929084,52.360387
1873,_30_50,Ulmus minor `Sarniensis`,1958,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.926566,52.362535
1874,_30_50,Ulmus minor `Sarniensis`,1958,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.927122,52.362654
1875,_30_50,Ulmus minor `Sarniensis`,2004,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.927343,52.362583
1876,_30_50,Ulmus minor `Sarniensis`,1968,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.926054,52.356628
1877,_30_50,Ulmus minor `Sarniensis`,1973,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.923624,52.356007
1878,_30_50,Ulmus minor `Sarniensis`,1948,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.925103,52.356381
1879,_30_50,Ulmus minor `Sarniensis`,1958,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.911814,52.351332
1880,_30_50,Ulmus minor `Sarniensis`,1958,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.921952,52.357322
1881,_30_50,Ulmus minor `Sarniensis`,1958,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.921586,52.357221
1882,_30_50,Ulmus minor `Sarniensis`,1958,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.921191,52.357112
1883,_30_50,Ulmus minor `Sarniensis`,1958,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.920942,52.357048
1884,_30_50,Ulmus minor `Sarniensis`,1958,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.921381,52.357167
1885,_30_50,Ulmus minor `Sarniensis`,1958,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.920737,52.356984
1886,_30_50,Ulmus minor `Sarniensis`,1958,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.919874,52.356738
1887,_30_50,Ulmus minor `Sarniensis`,1958,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.920298,52.356866
1888,_30_50,Ulmus minor `Sarniensis`,1958,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.920517,52.35693
1889,_30_50,Ulmus minor `Sarniensis`,1978,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.920078,52.356802
1890,_30_50,Ulmus minor `Sarniensis`,1968,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.919669,52.356684
1891,_30_50,Ulmus minor `Sarniensis`,1958,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.92437,52.359084
1892,_30_50,Ulmus minor `Sarniensis`,1968,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.924165,52.359029
1893,_30_50,Ulmus minor `Sarniensis`,1958,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.924859,52.358627
1894,_30_50,Ulmus minor `Sarniensis`,1958,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.925064,52.358682
1895,_30_50,Ulmus minor `Sarniensis`,1958,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.925299,52.358737
1896,_30_50,Ulmus minor `Sarniensis`,1988,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.925533,52.358801
1897,_30_50,Ulmus minor `Sarniensis`,1973,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.924654,52.358573
1898,_30_50,Ulmus minor `Sarniensis`,1983,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.925845,52.358415
1899,_30_50,Ulmus minor `Sarniensis`,1978,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.924264,52.357978
1900,_30_50,Ulmus minor `Sarniensis`,1973,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.923284,52.357695
1901,_30_50,Ulmus minor `Sarniensis`,1958,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.915878,52.355617
1902,_30_50,Ulmus minor `Sarniensis`,1973,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.916288,52.355736
1903,_30_50,Ulmus minor `Sarniensis`,1968,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.917795,52.356155
1904,_30_50,Ulmus minor `Sarniensis`,1958,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.918454,52.356346
1905,_30_50,Ulmus minor `Sarniensis`,1958,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.91879,52.356437
1906,_30_50,Ulmus minor `Sarniensis`,1948,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.915337,52.355462
1907,_30_50,Ulmus minor `Sarniensis`,1951,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.923682,52.358955
1908,_30_50,Ulmus minor `Sarniensis`,1958,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.930184,52.363295
1909,_30_50,Ulmus minor `Sarniensis`,1958,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.930067,52.363276
1910,_30_50,Ulmus minor `Sarniensis`,1978,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.926171,52.365157
1911,_30_50,Ulmus minor `Sarniensis`,1978,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.926191,52.364663
1912,_30_50,Ulmus minor `Sarniensis`,1978,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.926311,52.364457
1913,_30_50,Ulmus minor `Sarniensis`,1978,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.926445,52.364233
1914,_30_50,Ulmus minor `Sarniensis`,1978,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.926505,52.364134
1915,_30_50,Ulmus minor `Sarniensis`,1978,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.926565,52.364018
1916,_30_50,Ulmus minor `Sarniensis`,1978,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.92661,52.363919
1917,_30_50,Ulmus minor `Sarniensis`,1978,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.926844,52.363974
1918,_30_50,Ulmus minor `Sarniensis`,1978,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.926799,52.364072
1919,_30_50,Ulmus minor `Sarniensis`,1978,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.92674,52.36418
1920,_30_50,Ulmus minor `Sarniensis`,1978,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.926745,52.363686
1921,_30_50,Ulmus minor `Sarniensis`,1978,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.926879,52.363462
1922,_30_50,Ulmus minor `Sarniensis`,1978,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.927114,52.363507
1923,_30_50,Ulmus minor `Sarniensis`,1978,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.927173,52.3634
1924,_30_50,Ulmus minor `Sarniensis`,1948,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.929847,52.36323
1925,_30_50,Ulmus minor `Sarniensis`,1948,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.929745,52.363203
1926,_30_50,Ulmus minor `Sarniensis`,1958,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.929583,52.363175
1927,_30_50,Ulmus minor `Sarniensis`,1973,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.929687,52.363077
1928,_30_50,Ulmus minor `Sarniensis`,1973,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.929892,52.363123
1929,_30_50,Ulmus minor `Sarniensis`,1973,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.930229,52.363196
1930,_30_50,Ulmus minor `Sarniensis`,1973,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.930083,52.363159
1931,_30_50,Ulmus minor `Sarniensis`,1958,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.927987,52.362837
1932,_30_50,Ulmus minor `Sarniensis`,1958,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.928089,52.362864
1933,_30_50,Ulmus minor `Sarniensis`,1958,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.928206,52.362882
1934,_30_50,Ulmus minor `Sarniensis`,1958,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.928309,52.36291
1935,_30_50,Ulmus minor `Sarniensis`,1958,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.92869,52.362983
1936,_30_50,Ulmus minor `Sarniensis`,1958,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.928807,52.363011
1937,_30_50,Ulmus minor `Sarniensis`,1958,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.928924,52.363038
1938,_30_50,Ulmus minor `Sarniensis`,1958,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.929056,52.363065
1939,_30_50,Ulmus minor `Sarniensis`,1958,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.929188,52.363093
1940,_30_50,Ulmus minor `Sarniensis`,1958,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.92932,52.36312
1941,_30_50,Ulmus minor `Sarniensis`,1958,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.929452,52.363148
1942,_30_50,Ulmus minor `Sarniensis`,1973,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.929336,52.363004
1943,_30_50,Ulmus minor `Sarniensis`,1973,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.929511,52.36304
1944,_30_50,Ulmus minor `Sarniensis`,1973,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.928476,52.360933
1945,_30_50,Ulmus minor `Sarniensis`,1973,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.928387,52.361059
1946,_30_50,Ulmus minor `Sarniensis`,1973,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.928621,52.361123
1947,_30_50,Ulmus minor `Sarniensis`,1973,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.928532,52.361248
1948,_30_50,Ulmus minor `Sarniensis`,1988,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.928297,52.361193
1949,_30_50,Ulmus minor `Sarniensis`,1973,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.927909,52.361785
1950,_30_50,Ulmus minor `Sarniensis`,2003,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.928144,52.36184
1951,_30_50,Ulmus minor `Sarniensis`,1973,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.928308,52.361598
1952,_30_50,Ulmus minor `Sarniensis`,1973,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.928368,52.36149
1953,_30_50,Ulmus minor `Sarniensis`,1973,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.928442,52.361391
1954,_30_50,Ulmus minor `Sarniensis`,1973,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.928208,52.361337
1955,_30_50,Ulmus minor `Sarniensis`,1973,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.928148,52.361435
1956,_30_50,Ulmus minor `Sarniensis`,2004,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.928073,52.361534
1957,_30_50,Ulmus minor `Sarniensis`,1973,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.928014,52.361641
1958,_30_50,Ulmus minor `Sarniensis`,1973,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.927682,52.362521
1959,_30_50,Ulmus minor `Sarniensis`,1973,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.927443,52.362924
1960,_30_50,Ulmus minor `Sarniensis`,1973,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.927383,52.363041
1961,_30_50,Ulmus minor `Sarniensis`,1973,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.927308,52.363167
1962,_30_50,Ulmus minor `Sarniensis`,1973,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.927074,52.363112
1963,_30_50,Ulmus minor `Sarniensis`,1978,30-50,,,Bomen in verharding,,Stadsdeel,Oost,4.925013,52.362205
